City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,karratha,-20.7377,116.8463,294.84,43,30,2.22,AU,1690630468
84,adamstown,-25.066,-130.1015,291.54,60,27,10.9,PN,1690630468
85,yanbu,24.0891,38.0637,315.17,23,0,10.29,SA,1690630469
86,bodaybo,57.8506,114.1933,292.48,98,100,0.73,RU,1690630470
87,cleveland,41.4995,-81.6954,295.49,95,75,4.63,US,1690630351
88,tazovsky,67.4667,78.7,291.67,73,84,2.33,RU,1690630470
89,olyokminsk,60.3736,120.4264,296.18,62,83,2.0,RU,1690630470
90,kerch,45.3583,36.4758,298.84,46,24,2.17,UA,1690630470
91,puerto ayora,-0.7393,-90.3518,297.34,95,54,3.13,EC,1690630470
92,yeniseysk,58.4497,92.1703,291.37,95,100,2.68,RU,1690630470
93,bairnsdale,-37.8333,147.6167,283.04,77,0,2.05,AU,1690630470
94,benalla,-36.55,145.9833,283.87,86,49,1.89,AU,1690630471
95,ribeira grande,38.5167,-28.7,297.47,94,75,3.13,PT,1690630471
96,fale old settlement,-9.3852,-171.2468,301.76,66,63,8.22,TK,1690630471
97,chipinge,-20.1883,32.6236,300.76,18,23,1.25,ZW,1690630471
98,mardakan,40.4922,50.1389,300.12,65,75,12.35,AZ,1690630471
99,reghin-sat,46.7833,24.7167,300.66,40,70,2.75,RO,1690630471
100,kamaishi,39.2667,141.8833,298.2,81,9,2.67,JP,1690630472
101,arraial do cabo,-22.9661,-42.0278,294.13,88,75,6.69,BR,1690630472
102,padang,-0.9492,100.3543,303.18,87,100,1.51,ID,1690630472
103,nago,26.5881,127.9761,302.39,84,97,5.27,JP,1690630472
104,muisne,0.6,-80.0333,297.78,90,100,4.78,EC,1690630472
105,prestea,5.4327,-2.1428,300.33,77,99,3.02,GH,1690630472
106,tomatlan,19.9333,-105.25,295.43,89,52,1.84,MX,1690630472
107,hithadhoo,-0.6,73.0833,300.63,76,93,3.66,MV,1690630472
108,hasaki,35.7333,140.8333,301.65,88,1,5.81,JP,1690630472
109,stanley,54.868,-1.6985,292.7,59,20,5.66,GB,1690630473
110,vilyuysk,63.7553,121.6247,292.42,58,3,1.55,RU,1690630473
111,bodo,67.28,14.405,291.45,71,20,4.12,NO,1690630473
112,al wakrah,24.85,51.3333,319.2,15,16,4.79,QA,1690630473
113,salekhard,66.53,66.6019,296.73,41,13,4.75,RU,1690630473
114,nuuk,64.1835,-51.7216,283.49,87,75,4.12,GL,1690630473
115,filey,54.21,-0.2892,293.59,67,76,6.38,GB,1690630473
116,sandnessjoen,66.0217,12.6316,290.44,88,75,1.54,NO,1690630473
117,preobrazheniye,42.9019,133.9064,295.86,83,86,4.16,RU,1690630473
118,madang,-5.2246,145.7966,298.81,89,100,1.0,PG,1690630473
119,port mathurin,-19.6833,63.4167,296.66,78,6,6.73,MU,1690630474
120,conception bay south,47.4999,-52.9981,292.62,86,73,3.75,CA,1690630464
121,uturoa,-16.7333,-151.4333,299.31,78,5,3.99,PF,1690630474
122,constantia,44.1833,28.65,303.54,52,0,6.95,RO,1690630241
123,talnakh,69.4865,88.3972,299.38,59,95,3.41,RU,1690630474
124,la'ie,21.6477,-157.9253,299.13,77,100,1.34,US,1690630474
125,utrik,11.2278,169.8474,301.43,82,91,9.7,MH,1690630474
126,ostashkov,57.1467,33.1075,292.85,54,92,3.22,RU,1690630474
127,gwanda,-20.9333,29.0,303.71,11,10,4.21,ZW,1690630474
128,bilibino,68.0546,166.4372,279.69,97,100,1.76,RU,1690630474
129,lebu,-37.6167,-73.65,285.34,92,100,3.32,CL,1690630474
130,iskateley,67.6803,53.1512,295.1,61,98,3.43,RU,1690630474
131,touros,-5.1989,-35.4608,300.93,62,67,6.59,BR,1690630475
132,sawang daen din,17.4753,103.4575,298.68,89,100,2.7,TH,1690630475
133,cidreira,-30.1811,-50.2056,284.49,73,81,2.8,BR,1690630475
134,lupane,-18.9315,27.807,303.33,15,23,3.85,ZW,1690630457
135,palikir - national government center,6.9248,158.1611,299.62,94,75,2.06,FM,1690630475
136,anadyr,64.75,177.4833,285.93,76,0,1.79,RU,1690630475
137,susuman,62.7833,148.1667,283.77,65,100,2.01,RU,1690630475
138,sona,45.4388,10.8255,301.79,54,20,1.03,IT,1690630475
139,meadow lake,34.8014,-106.5436,295.38,45,88,1.69,US,1690630475
140,guayaramerin,-10.8368,-65.3614,295.98,64,75,2.11,BO,1690630475
141,zamora,-4.0692,-78.9567,297.73,99,94,0.45,EC,1690630476
142,margaret river,-33.95,115.0667,287.34,75,97,5.12,AU,1690630476
143,khuzdar,27.7384,66.6434,309.01,16,0,7.93,PK,1690630476
144,princeville,45.7668,-61.2985,296.83,84,20,3.13,CA,1690630476
145,cabo san lucas,22.8909,-109.9124,300.18,76,72,5.49,MX,1690630476
146,iqaluit,63.7506,-68.5145,284.0,62,75,5.14,CA,1690630476
147,pedro ii,-4.4247,-41.4586,300.71,45,10,3.38,BR,1690630476
148,kyabe,9.4515,18.9449,305.3,57,51,1.17,TD,1690630476
149,papao,-17.75,-149.55,295.97,83,65,11.51,PF,1690630476
150,kailua-kona,19.6406,-155.9956,299.13,79,20,2.06,US,1690630477
151,saipan,15.1355,145.701,300.54,83,40,2.06,MP,1690630477
152,hermanus,-34.4187,19.2345,285.26,77,100,10.83,ZA,1690630439
153,oamaru,-45.0784,170.9801,279.63,64,47,2.31,NZ,1690630477
154,tolanaro,-25.0319,46.9987,298.19,69,20,9.77,MG,1690630477
155,lihue,21.9789,-159.3672,299.92,79,20,7.2,US,1690630477
156,vadso,70.0744,29.7487,286.24,88,75,6.17,NO,1690630477
157,nurota,40.5614,65.6886,310.67,10,0,8.06,UZ,1690630477
158,tiksi,71.6872,128.8694,277.01,75,14,2.93,RU,1690630477
159,say,13.1007,2.3689,303.46,50,100,5.28,NE,1690630477
160,butajira,8.1167,38.3667,294.75,70,98,1.93,ET,1690630477
161,owando,-0.4819,15.8999,309.08,32,71,1.57,CG,1690630478
162,luau,-10.7073,22.2247,307.42,12,1,0.61,AO,1690630478
163,georgetown,5.4112,100.3354,304.12,74,40,2.24,MY,1690630430
164,berezovo,63.9381,65.0419,297.05,44,1,5.24,RU,1690630478
165,shingu,33.7333,135.9833,298.26,88,64,1.2,JP,1690630478
166,iwon-up,40.3231,128.6553,298.4,83,93,2.71,KP,1690630478
167,port alfred,-33.5906,26.891,293.37,55,96,7.53,ZA,1690630478
168,talcahuano,-36.7167,-73.1167,282.97,100,100,1.54,CL,1690630216
169,haiku-pauwela,20.9219,-156.3051,297.62,70,0,8.23,US,1690630478
170,katsuura,35.1333,140.3,299.58,90,5,4.91,JP,1690630478
171,chernyshevskiy,63.0128,112.4714,292.54,63,100,2.46,RU,1690630478
172,seydi,39.4816,62.9137,313.32,9,0,6.94,TM,1690630479
173,langepas,61.2544,75.2124,297.55,48,53,2.14,RU,1690630479
174,el sauzal de rodriguez,31.9,-116.6833,292.83,82,72,0.72,MX,1690630479
175,bonthe,7.5264,-12.505,297.76,93,100,4.99,SL,1690630479
176,gordonvale,-17.0936,145.7842,295.03,95,75,2.18,AU,1690630479
177,saurimo,-9.6608,20.3916,309.13,11,4,0.87,AO,1690630479
178,ampanihy,-24.7,44.75,301.37,15,0,0.75,MG,1690630479
179,hawaiian paradise park,19.5933,-154.9731,295.88,91,75,2.57,US,1690630479
180,aketi,2.7388,23.7833,303.37,53,92,0.99,CD,1690630479
181,dunedin,-45.8742,170.5036,281.37,63,72,2.2,NZ,1690630479
182,bandarbeyla,9.4942,50.8122,303.37,51,76,13.84,SO,1690630479
183,kodyma,48.0988,29.1246,301.79,34,19,5.3,UA,1690630480
184,puerto maldonado,-12.6,-69.1833,292.37,88,0,0.0,PE,1690630480
185,shihezi,44.3,86.0333,302.07,33,100,3.85,CN,1690630480
186,morant bay,17.8815,-76.4093,301.94,81,80,5.23,JM,1690630480
187,kapa'a,22.0752,-159.319,300.33,84,20,7.2,US,1690630480
188,vila do maio,15.1333,-23.2167,301.59,76,71,6.32,CV,1690630480
189,pagar alam,-4.0167,103.2667,294.51,99,99,0.65,ID,1690630480
190,weno,7.4515,151.8468,302.12,79,100,3.09,FM,1690630480
191,bokoro,12.3807,17.0568,308.13,40,91,4.41,TD,1690630480
192,island harbour,50.724,-1.2758,295.08,76,48,4.02,GB,1690630480
193,walvis bay,-22.9575,14.5053,289.31,56,17,9.04,NA,1690630480
194,ribeira brava,32.65,-17.0667,300.77,72,0,0.96,PT,1690630481
195,shibetsu,43.659,145.132,293.62,96,86,0.49,JP,1690630481
196,lamu,-2.2717,40.902,301.27,72,24,6.85,KE,1690630481
197,i-n-salah,27.1935,2.4607,319.61,5,7,4.41,DZ,1690630481
198,hede,33.7681,120.2517,299.36,80,100,9.09,CN,1690630481
199,ust-nera,64.5667,143.2,285.0,85,100,2.11,RU,1690630481
200,gadzhiyevo,69.2551,33.3362,284.52,97,100,8.47,RU,1690630481
201,tralee,52.2704,-9.7026,290.29,72,40,9.26,IE,1690630481
202,talara,-4.5772,-81.2719,294.13,84,53,5.73,PE,1690630218
203,whitehorse,60.7161,-135.0538,289.16,67,20,1.03,CA,1690630481
204,daqing,46.5833,125.0,297.76,71,1,5.17,CN,1690630482
205,santa elena de uairen,4.6167,-61.1333,295.3,81,61,0.81,VE,1690630482
206,dzhangala,49.2167,50.3333,304.31,33,100,5.92,KZ,1690630482
207,ceelbuur,4.685,46.6176,305.34,41,88,11.14,SO,1690630482
208,leava,-14.3,-178.1667,297.84,93,100,8.01,WF,1690630482
209,manggar,-2.8833,108.2667,300.6,72,41,6.6,ID,1690630482
210,st. john's,47.5649,-52.7093,292.75,85,75,5.14,CA,1690630329
211,tercan,39.7794,40.3925,302.1,20,0,2.22,TR,1690630482
212,ilulissat,69.2167,-51.1,277.16,93,100,2.06,GL,1690630482
213,kralendijk,12.15,-68.2667,301.14,89,40,5.14,BQ,1690630482
214,ebon,4.582,168.6964,301.43,79,92,4.62,MH,1690630482
215,regina,50.4501,-104.6178,283.14,93,20,1.03,CA,1690630201
216,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,100,100,4.0,RU,1690630483
217,remire-montjoly,4.9167,-52.2667,300.17,83,0,1.54,GF,1690630483
218,cabedelo,-6.9811,-34.8339,297.52,72,79,5.16,BR,1690630483
219,kone,-21.0595,164.8658,291.66,69,100,2.27,NC,1690630483
220,aasiaat,68.7098,-52.8699,275.79,90,99,2.2,GL,1690630483
221,vilyuchinsk,52.9306,158.4028,287.3,95,67,0.97,RU,1690630483
222,lionel town,17.8101,-77.2406,302.09,72,61,3.49,JM,1690630483
223,jiagedaqi,50.4167,124.1167,292.84,81,63,1.84,CN,1690630483
224,mil'kovo,55.6078,37.7956,290.42,94,100,4.14,RU,1690630483
225,ciudad constitucion,25.0369,-111.6644,297.39,68,93,2.66,MX,1690630484
226,egilsstadir,65.2653,-14.3948,282.1,93,100,6.69,IS,1690630484
